filename,type_a,type_b,type_c,type_d,echo,relative_path
Pipistrellus_pipistrellus_DIG0112_11.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0112_11.wav
Pipistrellus_pipistrellus_DIG0141_08.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0141_08.wav
Pipistrellus_pipistrellus_DIG0141_29.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0141_29.wav
Pipistrellus_pipistrellus_DIG0207_01.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0207_01.wav
Pipistrellus_pipistrellus_DIG0213_01.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_01.wav
Pipistrellus_pipistrellus_DIG0213_02.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_02.wav
Pipistrellus_pipistrellus_DIG0213_03.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_03.wav
Pipistrellus_pipistrellus_DIG0213_04.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_04.wav
Pipistrellus_pipistrellus_DIG0213_05.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_05.wav
Pipistrellus_pipistrellus_DIG0213_06.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_06.wav
Pipistrellus_pipistrellus_DIG0213_07.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_07.wav
Pipistrellus_pipistrellus_DIG0213_08.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_08.wav
Pipistrellus_pipistrellus_DIG0213_09.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_09.wav
Pipistrellus_pipistrellus_DIG0213_10.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_DIG0213_10.wav
Pipistrellus_pipistrellus_Ski0014_54.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_Ski0014_54.wav
Pipistrellus_pipistrellus_Ski0019_18.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_Ski0019_18.wav
Pipistrellus_pipistrellus_Ski0114_S2_From0634912ms_To0656318ms.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_Ski0114_S2_From0634912ms_To0656318ms.wav
Pipistrellus_pipistrellus_Ski0114_S2_From1881860ms_To1900334ms.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_Ski0114_S2_From1881860ms_To1900334ms.wav
Pipistrellus_pipistrellus_Ski0115_S2_From1112455ms_To1132732ms.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_Ski0115_S2_From1112455ms_To1132732ms.wav
Pipistrellus_pipistrellus_Ski0115_S2_From1183469ms_To1197310ms.wav,0,0,0,0,1,Echolocation\Pipistrellus_pipistrellus_Ski0115_S2_From1183469ms_To1197310ms.wav
XC1001698 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1001698 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1004457 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1004457 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1004458 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1004458 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1004459 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1004459 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1004460 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1004460 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1005396 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1005396 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006424 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC1006424 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006433 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,type B\XC1006433 - Common Pipistrelle - Pipistrellus pipistrellus.wav
